"Date","Regions","PropertyType","Number of establishments","Daily Capacity (stay-units available)","Available monthly stay unit 0apa0ity","Occupancy rate (%)","Total guest nights","Guest arrivals","Stay unit nights occupied","Domestic guest nights","International guest nights","Available monthly stay unit capacity","Average guests per stay unit night","Average nights stayed per guest","Average stay units per establishment","Capacity utilisation rate (%)","Monthly stay unit capacity","Number of active establishments","Number of stay units","Percentage of stay unit capacity available (%)","Proportion of domestic guests (%)","Proportion of international guests (%)"
2003-06-01,"Clutha","Total",23,402,12060,10.77,2087,1378,1299,1621,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-08-01,"Clutha","Total",24,409,12679,11.29,2218,1364,1432,1694,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-07-01,"Clutha","Total",23,382,11842,11.86,2273,1501,1404,1761,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06-01,"Clutha","Total",26,520,15600,8.96,2438,1393,1397,1802,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-06-01,"Clutha","Total",24,401,12030,12.65,2417,1523,1522,1893,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-01,"Clutha","Total",29,549,16470,9.48,2561,1831,1561,1912,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-06-01,"Clutha","Total",23,399,11970,14.4,2533,1733,1724,2011,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-07-01,"Clutha","Total",26,520,16120,9.7,2709,1367,1563,2037,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-09-01,"Clutha","Total",25,460,13800,12.49,2800,1675,1724,2072,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-01,"Clutha","Total",30,540,16200,10.97,2654,1703,1777,2077,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-08-01,"Clutha","Total",24,405,12555,12.37,2638,1528,1553,2126,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-01,"Clutha","Total",28,479,14370,11.35,2601,1827,1632,2126,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-08-01,"Clutha","Total",27,638,19778,8.69,2854,1757,1719,2128,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-01,"Clutha","Total",30,553,16590,10,2780,2014,1659,2172,608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-06-01,"Clutha","Total",28,652,19560,8.93,2951,1715,1747,2201,751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-09-01,"Clutha","Total",27,531,15930,11.78,3286,1750,1877,2215,1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-08-01,"Clutha","Total",30,510,15810,12.07,3211,2197,1908,2235,976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003-07-01,"Clutha","Total",24,405,12555,13.28,2818,1651,1667,2264,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-01,"Clutha","Total",31,615,18450,10.43,2723,1549,1925,2296,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
