Date,Region,PropertyType,Number of establishments,Daily Capacity (stay-units available),Available monthly stay unit capacity,Occupancy rate (%),Total guest nights,Guest arrivals,Stay unit nights occupied,Domestic guest nights,International guest nights 
1/06/2003,Clutha,Total,23.00,402.00,12060.00,10.77,2087.00,1378.00,1299.00,1621.00,467.00
1/08/2004,Clutha,Total,24.00,409.00,12679.00,11.29,2218.00,1364.00,1432.00,1694.00,524.00
1/07/2004,Clutha,Total,23.00,382.00,11842.00,11.86,2273.00,1501.00,1404.00,1761.00,512.00
1/06/2005,Clutha,Total,26.00,520.00,15600.00,8.96,2438.00,1393.00,1397.00,1802.00,636.00
1/06/2004,Clutha,Total,24.00,401.00,12030.00,12.65,2417.00,1523.00,1522.00,1893.00,525.00
1/09/2013,Clutha,Total,29.00,549.00,16470.00,9.48,2561.00,1831.00,1561.00,1912.00,650.00
1/06/2002,Clutha,Total,23.00,399.00,11970.00,14.40,2533.00,1733.00,1724.00,2011.00,521.00
1/07/2005,Clutha,Total,26.00,520.00,16120.00,9.70,2709.00,1367.00,1563.00,2037.00,672.00
1/09/2004,Clutha,Total,25.00,460.00,13800.00,12.49,2800.00,1675.00,1724.00,2072.00,728.00
1/06/2014,Clutha,Total,30.00,540.00,16200.00,10.97,2654.00,1703.00,1777.00,2077.00,578.00
1/08/2003,Clutha,Total,24.00,405.00,12555.00,12.37,2638.00,1528.00,1553.00,2126.00,513.00
1/06/2013,Clutha,Total,28.00,479.00,14370.00,11.35,2601.00,1827.00,1632.00,2126.00,475.00
1/08/2006,Clutha,Total,27.00,638.00,19778.00,8.69,2854.00,1757.00,1719.00,2128.00,726.00
1/06/2009,Clutha,Total,30.00,553.00,16590.00,10.00,2780.00,2014.00,1659.00,2172.00,608.00
1/06/2006,Clutha,Total,28.00,652.00,19560.00,8.93,2951.00,1715.00,1747.00,2201.00,751.00
1/09/2005,Clutha,Total,27.00,531.00,15930.00,11.78,3286.00,1750.00,1877.00,2215.00,1071.00
1/08/2011,Clutha,Total,30.00,510.00,15810.00,12.07,3211.00,2197.00,1908.00,2235.00,976.00
1/07/2003,Clutha,Total,24.00,405.00,12555.00,13.28,2818.00,1651.00,1667.00,2264.00,553.00
1/06/2015,Clutha,Total,31.00,615.00,18450.00,10.43,2723.00,1549.00,1925.00,2296.00,427.00
1/08/2005,Clutha,Total,25.00,504.00,15624.00,11.15,2936.00,1624.00,1742.00,2299.00,636.00
1/08/2015,Clutha,Total,31.00,615.00,19065.00,10.21,2796.00,1617.00,1947.00,2305.00,491.00
1/08/2013,Clutha,Total,29.00,549.00,17019.00,9.57,2840.00,1696.00,1629.00,2322.00,518.00
1/05/2004,Clutha,Total,26.00,461.00,14291.00,14.88,3485.00,2358.00,2127.00,2334.00,1151.00
1/08/2009,Clutha,Total,29.00,483.00,14973.00,11.29,2990.00,1925.00,1691.00,2342.00,648.00
1/07/2009,Clutha,Total,27.00,472.00,14632.00,11.50,3028.00,2061.00,1682.00,2359.00,669.00
1/10/2004,Clutha,Total,25.00,460.00,14260.00,14.09,3598.00,2188.00,2009.00,2363.00,1235.00
1/09/2010,Clutha,Total,28.00,565.00,16950.00,11.41,3187.00,2089.00,1935.00,2372.00,815.00
1/06/2019,Clutha,Total,29.00,615.00,18450.00,12.47,3255.00,2101.00,2301.00,2397.00,858.00
1/08/2008,Clutha,Total,30.00,584.00,18104.00,10.72,3231.00,2367.00,1941.00,2417.00,815.00
1/06/2011,Clutha,Total,28.00,498.00,14940.00,11.19,2969.00,1813.00,1672.00,2438.00,531.00
1/11/2003,Clutha,Total,26.00,459.00,13770.00,20.68,4980.00,3128.00,2847.00,2440.00,2540.00
1/09/2006,Clutha,Total,27.00,643.00,19290.00,10.27,3434.00,2102.00,1981.00,2449.00,985.00
1/09/2009,Clutha,Total,29.00,544.00,16320.00,11.42,3384.00,2222.00,1864.00,2451.00,933.00
1/05/2005,Clutha,Total,28.00,563.00,17453.00,11.22,3358.00,1716.00,1958.00,2472.00,886.00
1/09/2011,Clutha,Total,30.00,510.00,15300.00,15.27,4209.00,3040.00,2337.00,2477.00,1732.00
1/09/2014,Clutha,Total,31.00,545.00,16350.00,13.19,3438.00,1996.00,2157.00,2501.00,938.00
1/06/2008,Clutha,Total,29.00,569.00,17070.00,11.32,2978.00,2053.00,1932.00,2505.00,472.00
1/08/2014,Clutha,Total,31.00,545.00,16895.00,13.04,3179.00,1927.00,2203.00,2513.00,666.00
1/07/2006,Clutha,Total,28.00,648.00,20088.00,9.07,3192.00,1878.00,1822.00,2575.00,616.00
1/09/2015,Clutha,Total,31.00,506.00,15180.00,13.64,3277.00,1994.00,2070.00,2578.00,698.00
1/07/2013,Clutha,Total,29.00,549.00,17019.00,10.52,3070.00,1945.00,1791.00,2592.00,478.00
1/09/2003,Clutha,Total,26.00,459.00,13770.00,15.03,3440.00,2020.00,2070.00,2626.00,814.00
1/07/2002,Clutha,Total,23.00,399.00,12369.00,17.96,3424.00,2001.00,2221.00,2628.00,795.00
1/07/2014,Clutha,Total,31.00,545.00,16895.00,12.45,3235.00,2092.00,2104.00,2642.00,593.00
1/11/2002,Clutha,Total,24.00,450.00,13500.00,23.21,5138.00,3504.00,3133.00,2654.00,2461.00
1/07/2011,Clutha,Total,27.00,496.00,15376.00,13.28,3469.00,2414.00,2042.00,2714.00,754.00
1/06/2012,Clutha,Total,28.00,520.00,15600.00,12.11,3217.00,2019.00,1889.00,2747.00,470.00
1/06/2001,Clutha,Total,23.00,386.00,11580.00,17.52,3348.00,1922.00,2029.00,2752.00,596.00
1/08/2010,Clutha,Total,27.00,460.00,14260.00,15.34,3372.00,2055.00,2187.00,2767.00,605.00
1/06/2007,Clutha,Total,29.00,677.00,20310.00,10.55,3849.00,2297.00,2143.00,2774.00,1075.00
1/07/2008,Clutha,Total,29.00,582.00,18042.00,11.96,3427.00,2447.00,2157.00,2795.00,632.00
1/07/2019,Clutha,Total,27.00,586.00,18166.00,13.10,3680.00,2462.00,2379.00,2798.00,882.00
1/09/2008,Clutha,Total,32.00,596.00,17880.00,12.18,3903.00,2398.00,2177.00,2809.00,1094.00
1/05/2003,Clutha,Total,24.00,452.00,14012.00,17.01,3979.00,2448.00,2384.00,2824.00,1155.00
