NZ-resident traveller arrivals by closest overseas port (Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adelaide,Apia,Beijing,Bangkok,Brisbane,Bandar Seri Begawan,Guangzhou,Cairns,Denpasar,Buenos Aires,Hong Kong,Honolulu,Niue,Osaka,Kuala Lumpur,Los Angeles,Melbourne,Nadi,Nagoya,Norfolk Island,Noumea,Tokyo,Coolangatta,Perth,Papeete,Rarotonga,Santiago,Seoul,San Francisco,Shanghai,Singapore,Suva,Sydney,Tonga,Taipei,Port Vila,Vancouver,TOTAL ALL CLOSEST OVERSEAS PORTS
2000M01,0,4401,0,0,17631,0,0,378,0,351,4266,1053,162,621,1377,7371,14175,5481,0,675,432,567,351,1296,513,1971,0,1944,0,0,6993,891,29025,2808,2268,432,0,107487
2000M02,0,1400,0,0,10075,0,0,150,0,350,3125,425,0,475,1475,4650,11625,3350,0,350,175,700,375,550,250,975,0,1400,0,0,5050,400,23850,1200,1575,250,0,74450
2000M03,0,900,0,100,13350,0,0,200,0,175,2325,450,0,275,675,4875,14575,3600,0,375,175,575,425,550,175,1050,0,700,0,0,4475,250,25250,725,750,300,0,77325
2000M04,0,1550,0,0,24225,0,0,250,275,475,2850,700,0,400,1375,7900,16200,6800,0,475,975,1050,875,1225,450,2200,0,1125,0,0,6100,550,34925,900,1075,675,0,115625
2000M05,0,1113,0,0,18165,0,0,294,231,294,2352,378,0,378,1512,8652,13629,6930,0,483,630,777,546,945,420,1533,0,777,0,0,5817,168,30387,1260,903,756,0,99393
2000M06,0,1364,0,0,21538,0,0,462,462,242,2508,528,0,396,1518,10494,10186,3080,0,594,594,660,1034,968,484,2244,0,748,0,0,6094,0,30162,1210,858,704,0,99154
2000M07,0,1750,0,0,30025,0,0,600,925,450,4025,1375,0,900,3350,13875,14450,4725,0,550,1600,1125,1100,1350,800,2375,0,1675,0,0,9725,0,45075,1325,950,875,0,145050
2000M08,0,1536,0,0,25056,0,0,480,624,384,2352,936,0,504,2448,11040,13656,2208,24,648,1368,1080,1248,960,720,2592,0,600,0,0,6264,0,32928,1104,552,792,0,112176
2000M09,0,1525,0,0,24200,0,0,700,1075,125,2425,1125,0,600,2900,12750,13325,5750,25,625,975,800,1050,875,700,2150,0,750,0,0,8225,0,27425,1525,475,825,0,113075
2000M10,0,1820,0,0,30316,0,0,338,832,572,3458,1092,0,780,3796,14456,17940,9646,52,780,1378,1118,1378,1248,650,2626,0,858,0,0,8476,182,37596,1586,858,728,0,144664
2000M11,0,1066,0,0,20956,0,0,130,390,182,2314,702,78,338,1300,8606,18720,6448,104,572,780,650,650,1326,286,1794,0,624,0,0,4940,0,31954,624,390,546,0,106704
2000M12,0,1080,0,0,12798,0,0,189,270,162,1728,351,108,459,756,5184,12069,4617,81,351,486,405,675,783,243,1242,0,405,0,0,3132,0,25029,702,513,513,0,74385
2001M01,0,3300,0,0,22050,0,0,210,270,330,5400,840,120,750,2670,10200,18660,6420,360,540,360,1170,480,1470,690,2280,0,1470,0,0,7500,0,39000,2250,1620,480,0,131040
2001M02,0,1215,0,0,11610,0,0,108,189,189,3510,297,81,540,1944,5211,12339,3807,135,351,108,675,351,621,378,1269,0,918,0,0,5265,0,26379,972,1458,243,0,80649
2001M03,0,972,0,0,14364,0,0,135,270,324,1701,405,54,351,1026,5643,17037,3510,81,486,513,567,675,864,162,1620,0,621,0,0,3753,0,25299,729,459,432,0,82161
2001M04,0,1161,0,0,22599,0,0,540,351,351,3834,432,0,702,1593,7371,18765,5562,135,837,837,891,1161,999,405,1917,0,729,0,0,5319,27,33534,999,1107,540,0,112806
2001M05,0,1449,0,0,19849,0,0,529,345,345,2300,483,0,644,1403,8096,14375,5198,23,621,644,805,1012,1035,414,1518,0,621,0,0,5221,69,29762,943,690,437,0,99015
2001M06,0,1311,0,0,21390,0,0,506,713,138,2852,943,0,529,1564,9223,12098,8119,69,506,598,713,1219,736,437,2507,0,575,0,0,6302,69,30567,1219,575,713,0,106651
2001M07,0,2079,0,0,30240,0,0,972,918,297,3456,1269,0,810,2781,13716,15822,9585,108,702,1161,1161,1458,1053,1026,2430,0,810,0,0,9180,189,38691,1998,1377,810,0,144207
2001M08,0,1500,0,0,26000,0,0,700,775,175,2250,1075,0,575,1900,9650,12275,8975,175,450,1000,950,1350,825,600,2225,0,800,0,0,7150,100,30100,1300,600,700,0,114300
2001M09,0,1550,0,0,30150,0,0,1000,1150,375,2625,1125,0,825,2200,10425,13400,9225,75,625,925,1000,1475,1225,850,3050,0,500,0,0,7850,50,37200,1025,425,750,0,131200
2001M10,0,1998,0,0,30078,0,0,459,648,216,3645,972,108,945,2862,11070,17793,8613,243,702,837,1296,1593,1566,810,2808,0,1026,0,0,7965,270,37395,1161,918,648,0,138996
2001M11,0,975,0,0,17500,0,0,400,225,200,2850,675,0,700,1100,5750,16800,4975,100,575,450,475,1375,1125,400,1600,0,650,0,0,4475,100,26575,900,425,375,0,92125
2001M12,0,972,0,0,11286,0,0,297,216,351,2376,351,0,594,648,4509,12285,3321,162,378,459,567,1377,999,351,945,0,999,0,0,3024,108,20196,864,837,459,0,69336
2002M01,0,4030,0,0,20057,0,0,434,558,310,6169,961,62,1395,3286,7502,19096,6107,217,372,248,1209,2356,2015,744,2170,0,2976,0,0,7936,465,32922,2232,1984,713,0,129549
2002M02,0,1458,0,0,10179,0,0,189,216,270,4509,486,0,891,1485,4455,11367,3294,162,297,189,675,1323,864,378,999,0,1782,0,0,4995,243,20736,945,999,270,0,74142
2002M03,0,1204,0,0,12516,0,0,224,392,224,3528,560,0,448,1148,4340,16576,3808,56,588,224,560,2044,1092,504,1260,0,644,0,0,4172,224,22148,868,588,420,0,80696
2002M04,0,1026,0,0,19089,0,0,810,0,378,4455,783,81,783,1674,6048,16983,5373,216,729,756,1080,2484,1755,648,2160,0,1053,0,0,5427,270,29187,945,1053,540,0,106137
2002M05,0,1008,0,0,16680,0,0,960,0,144,3216,456,0,456,1680,7848,12480,5136,96,648,360,552,2496,1056,312,1848,0,648,0,0,5616,288,25200,840,624,600,0,92856
2002M06,0,1426,0,0,19389,0,0,1311,0,276,2691,943,0,414,2369,8763,11615,8303,115,690,644,782,2645,1196,437,3358,0,805,0,0,7636,184,26082,1058,506,874,0,107479
2002M07,0,1323,0,0,30915,0,0,1620,0,297,3672,1107,0,891,0,13905,13203,9747,189,567,432,1512,4131,1512,891,3564,162,1863,0,0,10746,162,33183,1728,972,702,0,139320
2002M08,0,1222,0,0,30030,0,0,1456,0,182,2652,910,0,676,0,11102,11596,8970,78,416,494,754,3744,1404,468,3666,286,780,0,0,8710,338,31720,1196,572,650,0,124410
2002M09,0,1250,0,0,31400,0,0,1700,0,50,2900,1250,0,650,0,10750,12950,9025,100,675,800,1200,3800,1425,525,3525,150,875,0,0,8825,300,30825,1625,675,550,0,128025
2002M10,0,1176,0,0,29512,0,0,1736,0,84,3668,1344,84,980,56,12964,18900,8848,196,672,560,1176,4032,1596,728,2548,336,1036,0,0,9688,560,40348,1400,756,672,0,146244
2002M11,0,812,0,0,19404,0,0,952,0,140,3388,728,196,728,392,7980,14588,4872,84,448,448,644,4452,1708,448,2296,168,952,0,0,5040,532,28644,784,364,672,0,102060
2002M12,0,960,0,0,11880,0,0,480,0,120,2790,660,210,360,270,4770,10680,3120,120,390,300,390,2880,960,150,1110,150,930,0,0,3270,240,22410,1350,510,540,0,72150
2003M01,0,3003,0,0,21978,0,0,462,0,165,7425,1353,363,1287,825,9009,16533,5511,198,330,165,924,3531,2178,759,1914,231,4257,0,0,9768,429,35046,3531,2178,891,0,134706
2003M02,0,952,0,0,10500,0,0,224,0,112,6272,700,224,840,756,5068,10976,3024,140,280,140,700,2156,616,308,1428,196,2688,0,0,6356,448,23268,1064,1932,252,0,82068
2003M03,0,899,0,0,14442,0,0,319,0,145,2871,580,116,348,580,4698,14210,3277,174,493,348,493,2726,1131,261,1450,58,1044,0,0,4756,348,25056,1073,609,319,0,84303
2003M04,0,1066,0,0,20930,0,0,728,0,130,2184,754,156,754,572,6578,14274,5824,78,728,442,988,3770,1482,338,2262,156,1430,0,0,4238,468,29042,1274,806,702,0,103506
2003M05,0,1265,0,0,19987,0,0,1219,0,253,966,667,184,621,414,7521,13156,4922,69,552,460,782,3519,1311,345,2231,230,966,0,0,4163,437,24656,1472,483,552,0,93541
2003M06,0,1197,0,0,21063,0,0,1512,0,105,2184,1512,189,462,189,9135,11949,8211,0,630,378,924,4242,1281,483,2877,252,987,0,0,4872,399,27426,1470,420,609,0,105105
2003M07,0,1736,0,0,29400,0,0,1652,0,224,5376,1792,280,532,1232,11956,13888,9716,168,616,728,924,4536,1232,784,2884,392,2324,0,0,9436,700,38444,2940,644,756,0,145516
2003M08,0,1242,0,0,26379,0,0,1890,0,162,4860,1323,189,540,1134,10503,12663,8775,81,486,486,837,4644,891,810,3591,135,972,0,0,8694,513,31455,1485,567,864,0,126441
2003M09,0,1612,0,0,30212,0,0,2158,0,286,5226,1560,104,546,1144,12142,14976,9594,78,494,728,1066,5122,1716,832,3770,182,1300,0,0,8138,676,35100,1586,390,910,0,141960
2003M10,0,1450,0,0,28623,0,0,1827,0,116,6728,1392,116,928,1769,13804,18647,9338,203,522,841,1015,4669,1711,754,3451,174,2088,0,0,9222,232,42311,1827,580,812,0,155411
2003M11,0,1218,0,0,23026,0,0,957,0,145,4234,841,203,406,783,6815,18705,5945,145,725,551,551,2726,1305,580,2494,145,986,0,0,6148,261,37903,1044,638,464,0,120292
2003M12,0,832,0,0,16256,0,0,544,0,224,2720,640,160,768,576,4960,13280,4512,64,736,448,448,1952,704,448,1408,192,1088,0,64,3712,384,27904,1152,448,352,0,87520
2004M01,0,3780,0,0,30205,0,0,840,0,210,8400,980,700,1015,1715,9100,19040,5285,420,525,350,1050,2905,1505,1295,2520,175,5495,0,805,10185,735,41580,3395,1960,770,0,157150
2004M02,0,1426,0,0,18693,0,0,403,0,279,8401,434,372,682,1271,5301,14539,3224,124,465,62,651,1984,868,713,1612,93,3348,0,0,7998,403,31465,1147,2077,186,0,108593
2004M03,0,1054,0,0,21576,0,0,589,0,279,3534,713,124,620,620,5177,19685,4619,0,620,403,434,2852,1178,434,1674,155,868,0,0,4805,527,30256,1085,806,341,0,105059
2004M04,0,1674,0,0,28086,0,0,992,0,279,5363,961,279,713,1457,7068,18321,8246,124,868,806,868,3472,1736,682,2480,124,1643,0,0,7471,558,38812,1271,961,527,0,135935
2004M05,0,1708,0,0,25088,0,0,1036,0,280,4312,952,168,448,1372,8820,17192,8820,56,672,616,868,3360,1456,616,2492,224,1540,0,0,7756,420,34888,1596,532,448,0,128072
2004M06,0,1638,0,0,28132,0,0,1872,0,156,3952,1092,234,260,1274,10452,14742,11414,156,702,572,858,3770,1118,728,3640,234,1274,0,0,8918,468,35412,2054,546,650,0,136396
2004M07,0,2010,0,0,42480,0,0,1800,0,300,7530,1530,420,810,3570,12390,19920,14100,270,660,660,1500,4200,1260,1350,4470,210,3210,2070,0,14370,600,46920,2700,840,990,0,195570
2004M08,0,1664,0,0,38048,0,0,1952,0,256,3968,1824,288,640,2016,9760,17504,12928,160,768,608,1024,4608,1056,800,4384,224,1248,2720,0,10336,512,43712,1984,576,992,0,169152
2004M09,0,1470,0,0,43140,0,0,1710,0,240,4890,1890,300,510,2220,11010,18630,13590,150,1080,810,1470,5040,1380,1500,4560,300,1500,2280,0,11100,600,40770,2220,600,900,0,176010
2004M10,0,2108,0,0,40641,0,0,1891,0,217,6138,1550,372,868,2635,11284,22165,12431,186,1240,589,1271,4340,1736,1054,4557,310,2449,2573,0,11935,496,47399,2139,775,1085,0,186651
2004M11,0,961,0,0,28458,0,0,899,0,217,3627,744,279,651,1395,6355,23591,7626,155,961,372,775,2976,1953,527,3193,155,1457,1147,0,6076,403,35247,1705,465,682,0,133300
2004M12,245,1050,0,0,18865,0,0,420,0,280,3255,665,140,525,1225,4620,16835,5810,0,840,350,595,2240,1400,455,1855,175,1400,805,0,4480,350,28245,1680,595,350,0,100100
2005M01,741,3666,0,0,35997,0,0,780,0,429,9750,858,390,1287,3666,8151,24921,9711,234,819,351,1482,3276,2613,975,3471,273,6084,1326,0,12597,741,45084,3783,1716,624,0,185913
2005M02,448,1600,0,0,18240,0,0,416,0,256,7072,480,256,1056,2272,4704,17568,4256,160,544,128,992,2688,1248,544,1664,160,4320,896,0,8384,480,31296,1856,1152,192,0,115584
2005M03,665,1015,0,0,25235,0,0,455,0,280,4935,595,280,420,1505,5250,22575,6230,140,875,280,910,3780,1855,175,2100,175,1120,770,0,6055,420,33285,1155,630,385,0,123725
2005M04,816,1598,0,0,33524,0,0,1190,0,204,5372,816,136,578,1394,6358,21828,7616,204,748,544,680,4828,2006,476,3264,204,986,918,0,8228,476,36516,1700,816,476,0,144738
