Visitor arrivals by country of residence and closest overseas port (Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ALL COUNTRIES OF RESIDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Adelaide,Apia,Beijing,Bangkok,Brisbane,Bandar Seri Begawan,Guangzhou,Cairns,Denpasar,Buenos Aires,Hong Kong,Honolulu,Niue,Osaka,Kuala Lumpur,Los Angeles,Melbourne,Nadi,Nagoya,Norfolk Island,Noumea,Tokyo,Coolangatta,Perth,Papeete,Rarotonga,Santiago,Seoul,San Francisco,Shanghai,Singapore,Suva,Sydney,Tonga,Taipei,Port Vila,Vancouver,TOTAL ALL CLOSEST OVERSEAS PORTS
2000M01,0,1326,0,0,16286,0,0,357,0,1581,5253,1989,34,3468,3366,19312,17408,8568,34,204,2040,5304,153,1479,1071,1462,0,5338,0,0,12852,442,51493,1394,2193,170,0,167093
2000M02,0,1770,0,0,17910,0,0,690,0,1290,7635,1890,0,3510,3900,25365,19545,10305,0,15,960,6615,240,1785,1710,1905,0,4740,0,0,16020,630,55170,1380,4035,210,0,192765
2000M03,0,1245,0,30,15435,0,0,525,0,720,5280,1215,0,2235,3435,16905,19560,7080,0,90,480,5265,315,1545,1080,1215,0,4995,0,0,12510,405,47520,1245,2040,165,0,152850
2000M04,0,1485,0,0,13935,0,0,375,105,840,5775,675,0,2205,2970,15330,17775,5535,0,105,525,4440,450,1335,1020,1635,0,3705,0,0,12705,390,47700,1065,1515,165,0,143985
2000M05,0,1056,0,407,10384,0,0,528,88,418,3784,363,0,1595,2090,8459,12144,4664,0,110,671,3663,231,1155,770,891,0,2728,0,0,7942,143,31878,1188,1320,132,0,99022
2000M06,0,1224,0,0,9828,0,0,492,96,312,3288,516,0,1488,1764,9912,12072,3156,0,72,492,3156,228,1128,1128,984,0,2976,0,0,7992,0,32340,1128,1308,84,0,97464
2000M07,0,1500,0,0,12840,0,0,270,150,915,5385,615,0,2760,2910,13665,13305,4290,150,120,660,5250,165,1245,1380,1170,0,4740,0,0,9420,0,44205,1380,1890,165,0,130890
2000M08,0,1260,0,0,13272,0,0,350,112,490,3458,490,0,2716,2212,10206,13370,3234,532,112,728,5684,294,1372,1036,1176,0,2996,0,0,9030,0,40040,1372,1540,182,0,117432
2000M09,0,1365,0,0,13125,0,0,285,195,510,3765,435,0,2235,2715,8595,13680,3795,315,75,750,3495,360,1575,1215,1035,0,2100,0,0,8850,0,39540,1650,1560,135,0,113715
2000M10,0,1584,0,0,13216,0,0,496,240,656,5440,688,48,2736,3776,15616,17680,5584,400,112,832,4672,304,1376,1952,1712,0,2352,0,0,12192,48,48080,1376,1584,176,0,146560
2000M11,0,1744,0,0,17664,0,0,352,384,928,6576,1392,96,4512,5872,18016,20512,7056,1456,80,896,6544,240,1568,1744,2368,0,3952,0,0,14864,0,53936,1056,2096,272,0,182144
2000M12,0,4335,0,0,25177,0,0,646,884,1071,9112,2227,204,5202,6001,28101,29427,9877,2176,170,1088,5678,782,2023,3281,2890,0,4505,0,0,18360,0,73253,2329,2244,221,0,242845
2001M01,0,1440,0,0,19160,0,0,380,620,1500,6860,1740,140,4840,5460,22880,23560,9040,2780,180,1960,6320,220,1240,2380,1980,0,4700,0,0,13640,0,58000,1720,3420,300,0,197660
2001M02,0,1224,0,0,19805,0,0,510,493,1105,5831,1955,102,4964,5134,25636,23443,8075,1802,153,782,5525,306,1921,1955,2091,0,3502,0,0,13498,0,59381,1462,1972,221,0,199801
2001M03,0,1173,0,0,18411,0,0,493,204,884,5984,1343,68,4182,4131,19210,23443,5661,2006,102,493,5814,425,1870,1683,1870,0,3009,0,0,12767,0,57324,1394,1632,221,0,176936
