STATISTIC,Statistic Label,TLIST(A1),Year,C02164V02610,Type of Accommodation Used,C02276V02746,Domestic,UNIT,VALUE
HTA05C1,Number of Trips by Irish Residents,2000,2000,-,All types of accommodation,01,Domestic,Thousand,5478
HTA05C1,Number of Trips by Irish Residents,2000,2000,-,All types of accommodation,02,Outbound,Thousand,3768
HTA05C1,Number of Trips by Irish Residents,2000,2000,134,Caravan/camping,01,Domestic,Thousand,295
HTA05C1,Number of Trips by Irish Residents,2000,2000,134,Caravan/camping,02,Outbound,Thousand,105
HTA05C1,Number of Trips by Irish Residents,2000,2000,222,Friends/relatives,01,Domestic,Thousand,1935
HTA05C1,Number of Trips by Irish Residents,2000,2000,222,Friends/relatives,02,Outbound,Thousand,919
HTA05C1,Number of Trips by Irish Residents,2000,2000,224,Own holiday home,01,Domestic,Thousand,185
HTA05C1,Number of Trips by Irish Residents,2000,2000,224,Own holiday home,02,Outbound,Thousand,29
HTA05C1,Number of Trips by Irish Residents,2000,2000,92,Guest house/bed &breakfast,01,Domestic,Thousand,724
HTA05C1,Number of Trips by Irish Residents,2000,2000,92,Guest house/bed &breakfast,02,Outbound,Thousand,203
HTA05C1,Number of Trips by Irish Residents,2000,2000,93,Hotel/conference centre,01,Domestic,Thousand,1669
HTA05C1,Number of Trips by Irish Residents,2000,2000,93,Hotel/conference centre,02,Outbound,Thousand,1567
HTA05C1,Number of Trips by Irish Residents,2000,2000,94,Self catering/rented house,01,Domestic,Thousand,456
HTA05C1,Number of Trips by Irish Residents,2000,2000,94,Self catering/rented house,02,Outbound,Thousand,789
HTA05C1,Number of Trips by Irish Residents,2000,2000,999,Other,01,Domestic,Thousand,214
HTA05C1,Number of Trips by Irish Residents,2000,2000,999,Other,02,Outbound,Thousand,155
HTA05C2,Number of Nights by Irish Residents,2000,2000,-,All types of accommodation,01,Domestic,Thousand,20703
HTA05C2,Number of Nights by Irish Residents,2000,2000,-,All types of accommodation,02,Outbound,Thousand,35544
HTA05C2,Number of Nights by Irish Residents,2000,2000,134,Caravan/camping,01,Domestic,Thousand,1808
HTA05C2,Number of Nights by Irish Residents,2000,2000,134,Caravan/camping,02,Outbound,Thousand,1546
