STATISTIC,Statistic Label,TLIST(A1),Year,C02199V02655,Sex,C04004V04762,Citizenship,UNIT,VALUE
NA,Estimated Population,NA,2006,NA,Both sexes,NA,All Countries,Thousand,4232.9
NA,Estimated Population,NA,2006,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,43.8
NA,Estimated Population,NA,2006,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,132.5
NA,Estimated Population,NA,2006,NA,Both sexes,NA,United Kingdom,Thousand,115.5
NA,Estimated Population,NA,2006,NA,Both sexes,NA,Ireland,Thousand,3802.4
NA,Estimated Population,NA,2006,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,138.8
NA,Estimated Population,NA,2006,NA,Male,NA,All Countries,Thousand,2117.3
NA,Estimated Population,NA,2006,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,21.3
NA,Estimated Population,NA,2006,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,79.9
NA,Estimated Population,NA,2006,NA,Male,NA,United Kingdom,Thousand,57.8
NA,Estimated Population,NA,2006,NA,Male,NA,Ireland,Thousand,1887.4
NA,Estimated Population,NA,2006,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,70.9
NA,Estimated Population,NA,2006,NA,Female,NA,All Countries,Thousand,2115.6
NA,Estimated Population,NA,2006,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,22.5
NA,Estimated Population,NA,2006,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,52.6
NA,Estimated Population,NA,2006,NA,Female,NA,United Kingdom,Thousand,57.7
NA,Estimated Population,NA,2006,NA,Female,NA,Ireland,Thousand,1914.9
NA,Estimated Population,NA,2006,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,67.9
NA,Estimated Population,NA,2007,NA,Both sexes,NA,All Countries,Thousand,4375.8
NA,Estimated Population,NA,2007,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,47
NA,Estimated Population,NA,2007,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,207.6
NA,Estimated Population,NA,2007,NA,Both sexes,NA,United Kingdom,Thousand,115.5
NA,Estimated Population,NA,2007,NA,Both sexes,NA,Ireland,Thousand,3856.2
NA,Estimated Population,NA,2007,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,149.6
NA,Estimated Population,NA,2007,NA,Male,NA,All Countries,Thousand,2191.3
NA,Estimated Population,NA,2007,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,21.8
NA,Estimated Population,NA,2007,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,120.3
NA,Estimated Population,NA,2007,NA,Male,NA,United Kingdom,Thousand,57.6
NA,Estimated Population,NA,2007,NA,Male,NA,Ireland,Thousand,1915.7
NA,Estimated Population,NA,2007,NA,Male,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,75.9
NA,Estimated Population,NA,2007,NA,Female,NA,All Countries,Thousand,2184.6
NA,Estimated Population,NA,2007,NA,Female,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,25.2
NA,Estimated Population,NA,2007,NA,Female,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,87.4
NA,Estimated Population,NA,2007,NA,Female,NA,United Kingdom,Thousand,57.9
NA,Estimated Population,NA,2007,NA,Female,NA,Ireland,Thousand,1940.5
NA,Estimated Population,NA,2007,NA,Female,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,73.7
NA,Estimated Population,NA,2008,NA,Both sexes,NA,All Countries,Thousand,4485.1
NA,Estimated Population,NA,2008,NA,Both sexes,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,50.8
NA,Estimated Population,NA,2008,NA,Both sexes,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,247.7
NA,Estimated Population,NA,2008,NA,Both sexes,NA,United Kingdom,Thousand,117.9
NA,Estimated Population,NA,2008,NA,Both sexes,NA,Ireland,Thousand,3909.5
NA,Estimated Population,NA,2008,NA,Both sexes,NA,"All countries excluding Ireland,United Kingdom and EU272020",Thousand,159.2
NA,Estimated Population,NA,2008,NA,Male,NA,All Countries,Thousand,2238.6
NA,Estimated Population,NA,2008,NA,Male,NA,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),Thousand,23.7
NA,Estimated Population,NA,2008,NA,Male,NA,EU15 to EU27 (accession countries joined post 2004),Thousand,133.9
NA,Estimated Population,NA,2008,NA,Male,NA,United Kingdom,Thousand,58.9
