GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,ERP 2024,ERP 2025,ERP change,ERP change  %,Natural increase,Net internal migration,Net overseas migration,Area km2,Density
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood,4480,4494,14,0.3,-6,10,10,3418.4,1.3
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar,8432,8409,-23,-0.3,59,-120,38,7,1204.3
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan,11344,11251,-93,-0.8,56,-263,114,4.8,2362.7
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East,5133,5111,-22,-0.4,48,-126,56,13,393.1
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,12872,12735,-137,-1.1,85,-311,89,13.7,931.3
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021610,Googong,8496,9323,827,9.7,172,628,27,6.9,1348
1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021611,Queanbeyan Surrounds,17654,18181,527,3,138,342,47,3047.7,6
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala,2472,2474,2,0.1,7,-7,2,3990.1,0.6
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma,6717,6598,-119,-1.8,-22,-150,53,103.6,63.7
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Surrounds,3557,3577,20,0.6,0,16,4,6251,0.6
1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale,8558,8703,145,1.7,42,39,64,3939.8,2.2
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay,8668,8679,11,0.1,-54,39,26,63.7,136.2
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South,9080,9170,90,1,-56,120,26,30.6,299.7
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra,9036,9070,34,0.4,9,7,18,183.9,49.3
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland,9845,9955,110,1.1,32,60,18,4709.8,2.1
1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin,3933,3951,18,0.5,-22,30,10,24.2,163
