Data,ID,Name,Class_1,Class_2,Class_3,Unit,Dim,Tick,Palette,ColourKey,Style,Prefix
hb1,EXRT.DS41.NZB17,17 currency basket,Index,TWI,17 currency basket,Index,TWI,.0f,qual,black,Line,NA
hb1,EXR.DS11.D06,United States dollar,NZD/USD,Exchange rates (quoted per NZ$),United States dollar,NZD/USD,NZD to $USD,.2f,qual,black,Line,$
hb1,EXR.DS11.D04,UK pound sterling,NZD/GBP,Exchange rates (quoted per NZ$),UK pound sterling,NZD/GBP,NZD to £GBP,.2f,qual,black,Line,£
hb1,EXR.DS11.D01,Australian dollar,NZD/AUD,Exchange rates (quoted per NZ$),Australian dollar,NZD/AUD,NZD to $AUD,.2f,qual,black,Line,$
hb1,EXR.DS11.D05,Japanese yen,NZD/JPY,Exchange rates (quoted per NZ$),Japanese yen,NZD/JPY,NZD to ¥JPY,.0f,qual,black,Line,¥
hb1,EXR.DS11.D03,European euro,NZD/EUR,Exchange rates (quoted per NZ$),European euro,NZD/EUR,NZD to €EUR,.2f,qual,black,Line,€
hb1,EXR.DS11.D02,Canadian dollar,NZD/CAD,Exchange rates (quoted per NZ$),Canadian dollar,NZD/CAD,NZD to $CAD,.2f,qual,black,Line,$
hb1,EXR.DS11.D12,South Korean won,NZD/KRW,Exchange rates (quoted per NZ$),South Korean won,NZD/KRW,NZD to ₩KRW,.0f,qual,black,Line,₩
hb1,EXR.DS11.D11,Chinese renminbi,NZD/CNY,Exchange rates (quoted per NZ$),Chinese renminbi,NZD/CNY,NZD to ¥CNY,.2f,qual,black,Line,¥
hb1,EXR.DS11.D14,Malaysian ringgit,NZD/MYR,Exchange rates (quoted per NZ$),Malaysian ringgit,NZD/MYR,NZD to RM,.2f,qual,black,Line,RM
hb1,EXR.DS11.D08,Hong Kong dollar,NZD/HKD,Exchange rates (quoted per NZ$),Hong Kong dollar,NZD/HKD,NZD to $HK,.2f,qual,black,Line,$
hb1,EXR.DS11.D13,Indonesian rupiah,NZD/IDR,Exchange rates (quoted per NZ$),Indonesian rupiah,NZD/IDR,NZD to p (IDR),.0f,qual,black,Line,p
hb1,EXR.DS11.D15,Thai baht,NZD/THB,Exchange rates (quoted per NZ$),Thai baht,NZD/THB,NZD to B (THB),.0f,qual,black,Line,B
hb1,EXR.DS11.D09,Singapore dollar,NZD/SGD,Exchange rates (quoted per NZ$),Singapore dollar,NZD/SGD,NZD to $SGD,.2f,qual,black,Line,$
hb1,EXR.DS11.D16,New Taiwan dollar,NZD/TWD,Exchange rates (quoted per NZ$),New Taiwan dollar,NZD/TWD,NZD to $NT,.0f,qual,black,Line,$
hb1,EXR.DS11.D31,Indian rupee,NZD/INR,Exchange rates (quoted per NZ$),Indian rupee,NZD/INR,NZD to ₹INR,.0f,qual,black,Line,₹
hb1,EXR.DS11.D32,Philippine peso,NZD/PHP,Exchange rates (quoted per NZ$),Philippine peso,NZD/PHP,NZD to ₱PHP,.0f,qual,black,Line,₱
hb1,EXR.DS11.D33,Vietnamese dong,NZD/VND,Exchange rates (quoted per NZ$),Vietnamese dong,NZD/VND,NZD to ₫VND,.0f,qual,black,Line,₫
hb1,EXRT.DS41.N,Base June 1979=100,Index Historic,Historical TWI,Base June 1979=100,Index,TWI (H),.0f,qual,black,Line,NA
hb2,INM.DP1.N,Official Cash Rate (OCR),OCR,Official Cash Rate (OCR),NA,%pa,%,.1f,manual,grey_snow,Fill,NA
hb2,INM.DG101.NZZCF,1 year (bond),Secondary market government bond closing yields,1 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DG102.NZZCF,2 year (bond),Secondary market government bond closing yields,2 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DG105.NZZCF,5 year (bond),Secondary market government bond closing yields,5 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DG110.NZZCF,10 year (bond),Secondary market government bond closing yields,10 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DS01.NZZC,1 year (swap),Swap rates close,1 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DS02.NZZC,2 year (swap),Swap rates close,2 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DS05.NZZC,5 year (swap),Swap rates close,5 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DS10.NZZC,10 year (swap),Swap rates close,10 year,NA,%pa,%,.1f,qual,NA,Line,NA
hb2,INM.DS61.NZZC,Spread 2-10 year,Swap rates close,Spread 2-10 year,NA,bps,bps,.1f,qual,NA,Line,NA
hc35,LVRP.QME1.A,Opening position,Total,Opening position,Total,NZDm,NZDm,",d",manual,teal_snow,Fill,NA
hc35,LVRP.QME31.A,Drawdowns,Total,Drawdowns,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME32.A,Interest charged,Total,Interest charged,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME33.A,Scheduled repayments,Total,Scheduled repayments,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME34.A,Repayment of loan in full,Total,Repayment of loan in full,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME35.A,Other excess repayments,Total,Other excess repayments,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME36.A,Repayment deficiencies,Total,Repayment deficiencies,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME37.A,Net write-offs,Total,Net write-offs,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME38.A,Other adjustments,Total,Other adjustments,Total,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME1.B,Opening position,>80% LVR,Opening position,Breakdown,NZDm,NZDm,",d",manual,teal_snow,Fill,NA
hc35,LVRP.QME31.B,Drawdowns,>80% LVR,Drawdowns,Breakdown,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME32.B,Interest charged,>80% LVR,Interest charged,Breakdown,NZDm,NZDm,",d",teal,black,Line,NA
hc35,LVRP.QME33.B,Scheduled repayments,>80% LVR,Scheduled repayments,Breakdown,NZDm,NZDm,",d",teal,black,Line,NA
