Original,region_new
Auckland,Auckland
Tātaki Auckland Unlimited,Auckland
Bay of Plenty,Bay of Plenty
Tourism Bay of Plenty,Bay of Plenty
Canterbury,Canterbury
Combined Canterbury RTOs,Canterbury
ChristchurchNZ,Canterbury
Central Otago,Central Otago
Tourism Central Otago,Central Otago
Clutha,Clutha
Clutha Development,Clutha
Coromandel,Coromandel
Destination Coromandel,Coromandel
Dunedin,Dunedin
Enterprise Dunedin,Dunedin
Fiordland,Fiordland
Visit Fiordland,Fiordland
Gisborne,Gisborne
Tairāwhiti Gisborne Tourism,Gisborne
Hawke's Bay,Hawke's Bay
Hawke's Bay Tourism,Hawke's Bay
Hurunui,Hurunui
Hurunui Tourism,Hurunui
Destination Kaikōura,Kaikōura
Kapiti-Horowhenua,Kapiti-Horowhenua
Mackenzie,Mackenzie
Mackenzie Tourism,Mackenzie
Manawatu,Manawatu
CEDA (Manawatū),Manawatu
Marlborough,Marlborough
Destination Marlborough,Marlborough
Nelson-Tasman,Nelson-Tasman
NRDA (Nelson),Nelson-Tasman
Northland,Northland
Northland Inc,Northland
Queenstown,Queenstown
Destination Queenstown,Queenstown
Rotorua,Rotorua
RotoruaNZ,Rotorua
Ruapehu,Ruapehu
Visit Ruapehu,Ruapehu
Southland,Southland
Visit Southland,Southland
Taranaki,Taranaki
Venture Taranaki,Taranaki
Taupo,Taupo
Destination Great Lake Taupō,Taupo
Timaru,Timaru
Venture Timaru,Timaru
Total NZ,Total
New Zealand,Total
Waikato,Waikato
Hamilton & Waikato Tourism,Waikato
Wairarapa,Wairarapa
Destination Wairarapa,Wairarapa
Waitaki,Waitaki
Tourism Waitaki,Waitaki
Wanaka,Wanaka
Lake Wānaka Tourism,Wanaka
Wanganui,Wanganui
Whanganui and Partners,Wanganui
Wellington,Wellington
WellingtonNZ,Wellington
Wellington City,Wellington City
West Coast,West Coast
Development West Coast,West Coast
Whakatane-Kawerau,Whakatane-Kawerau
