code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type,place
AAA,NTGA,Anaa,-17.3506654,-145.5111199,36,,Pacific/Tahiti,AAA,PF,,,,AP,Anaa
AAB,YARY,Arrabury Airport,-26.6967835,141.049092,328,,Australia/Brisbane,AAB,AU,Tanbar,Queensland,Barcoo Shire,AP,Tanbar
AAC,HEAR,El Arish International Airport,31.0742836,33.829171518733695,85,,Africa/Cairo,AAC,EG,Arish,Muhafazat Shamal Sina',,AP,Arish
AAD,HCAD,Adado Airport,6.09628635,46.637708371259194,980,,Africa/Khartoum,AAD,SO,Adado,,,AP,Adado
AAE,DABB,Les Salines Airport,36.821392,7.811857,36,,Africa/Algiers,AAE,DZ,El Hadjar,Annaba,,AP,El Hadjar
AAF,KAAF,Apalachicola Regional,29.7302356,-85.02964472,19,,America/New_York,AAF,US,Apalachicola,Florida,Franklin County,AP,Apalachicola
AAG,SSYA,Arapoti,-24.1037812,-49.78949435,2608,,America/Sao_Paulo,AAG,BR,Jaguariaiva,Parana,Jaguariaiva,AP,Jaguariaiva
AAH,EDKA,Aachen/Merzbruck,50.75,6.133333,754,https://www.flugplatz-aachen.de,Europe/Berlin,AAH,DE,,,,AP,Aachen/Merzbruck
AAI,SWRA,Arraias,-12.916667,-46.933334,2490,,America/Araguaina,AAI,BR,Campos Belos,Goias,Campos Belos,AP,Campos Belos
AAJ,SMCA,Cayana Airstrip,3.8987445,-55.5779688,278,,America/Paramaribo,AAJ,SR,Kajana,Sipaliwini,Boven Suriname,AP,Kajana
AAK,NGUK,Aranuka,0.166667,173.58333,0,,Pacific/Tarawa,AAK,KI,,,,AP,Aranuka
AAL,EKYT,Aalborg Airport,57.0864352,9.868075521300991,19,http://www.aal.dk,Europe/Copenhagen,AAL,DK,Vadum,North Denmark,Alborg Kommune,AP,Vadum
AAM,FAMD,Mala Mala,-24.8,31.533333,1082,,Africa/Johannesburg,AAM,ZA,,,,AP,Mala Mala
AAN,OMAL,Al Ain Airport,24.260231,55.616627,830,,Asia/Dubai,AAN,AE,,,,AP,Al Ain Airport
AAO,SVAN,Anaco,9.4298739,-64.47086335,692,,America/Caracas,AAO,VE,Anaco,Anzoategui,Municipio Anaco,AP,Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,-0.373611,117.255556,154,http://www.proyek.dishubprovkaltim.info/?pro=1,Asia/Jakarta,AAP,ID,,,,AP,Aji Pangeran Tumenggung Pranoto International Airport
AAQ,URKA,Anapa Airport,45.00265265,37.34498313723325,137,http://basel.aero/en/anapa/,Europe/Moscow,AAQ,RU,Anapa,Krasnodarskiy,,AP,Anapa
AAR,EKAH,Aarhus Airport,56.304542549999994,10.612849817576597,45,http://www.aar.dk/default.asp?id=87,Europe/Copenhagen,AAR,DK,Ebeltoft,Central Jutland,Syddjurs Kommune,AP,Ebeltoft
AAS,,Apalapsili,-3.880849,139.3107060627146,3005,,Asia/Jayapura,AAS,ID,,,,AP,Apalapsili
AAT,ZWAT,Altay Airport,47.74833705,88.08948249042332,2408,,Asia/Urumqi,AAT,CN,Awiytan,Xinjiang Uygur Zizhiqu,,AP,Awiytan
AAU,NSAU,Asau,-13.458333,-172.6,0,,Pacific/Apia,AAU,WS,Asau,Vaisigano,,AP,Asau
AAV,RPMA,Allah Valley,6.36768745,124.75266160348093,629,,Asia/Manila,AAV,PH,Surallah,South Cotabato,,AP,Surallah
AAW,OPAB,Abbottabad,34.2,73.25,4061,,Asia/Karachi,AAW,PK,Abbottabad,Khyber Pakhtunkhwa,,AP,Abbottabad
AAX,SBAX,Araxa Airport,-19.563132,-46.96040575,3267,,America/Sao_Paulo,AAX,BR,Araxa,Minas Gerais,Araxa,AP,Araxa
AAY,OYGD,Al Ghaydah,16.1879658,52.17271501755243,114,,Asia/Aden,AAY,YE,Al Ghayzah,Al Mahrah,Al Ghaydah,AP,Al Ghayzah
AAZ,MGQZ,Quetzaltenango,14.8611558,-91.50677134,7795,,America/Guatemala,AAZ,GT,Olintepeque,Quetzaltenango,,AP,Olintepeque
ABA,UNAA,Abakan Airport,53.716667,91.5,807,,Asia/Krasnoyarsk,ABA,RU,Podsineye,Khakasiya,,AP,Podsineye
ABB,DNAS,Asaba International Airport,6.20565465,6.663854565066257,216,,Africa/Lagos,ABB,NG,Asaba,,,AP,Asaba
ABC,LEAB,Los Llanos,38.948334,-1.863333,2276,http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page,Europe/Madrid,ABC,ES,,,,AP,Los Llanos
ABD,OIAA,Abadan Airport,30.3668469,48.228439506236356,26,,Asia/Tehran,ABD,IR,Abadan,Khuzestan,,AP,Abadan
ABE,KABE,Lehigh Valley International Airport,40.651163100000005,-75.44225387,374,,America/New_York,ABE,US,Catasauqua,Pennsylvania,Lehigh County,AP,Catasauqua
ABF,NGAB,Abaiang,1.670833,173.30417,0,,Pacific/Tarawa,ABF,KI,Buota Village,Gilbert Islands,Tarawa,AP,Buota Village
ABG,YABI,Abingdon,-17.666668,143.2,600,,Australia/Brisbane,ABG,AU,,,,AP,Abingdon
ABH,YAPH,Alpha,-23.65,146.63333,1190,,Australia/Brisbane,ABH,AU,,,,AP,Alpha
ABI,KABI,Abilene Regional Airport,32.407743749999995,-99.67936993,1791,,America/Chicago,ABI,US,,,,AP,Abilene Regional Airport
ABJ,DIAP,Felix Houphouet Boigny Airport,5.264928299999999,-3.925957339,42,,Africa/Abidjan,ABJ,CI,Abidjan,Lagunes,,AP,Abidjan
ABK,HAKD,Kabri Dar,6.733889,44.26611,1738,,Africa/Addis_Ababa,ABK,ET,,,,AP,Kabri Dar
ABL,PAFM,Ambler Airport,67.1058333,-157.8536111,190,,America/Anchorage,ABL,US,,,,AP,Ambler Airport
ABM,YNPE,Northern Peninsula Airport,-10.942619,142.45033,98,http://www.nparc.qld.gov.au/airport,Australia/Brisbane,ABM,AU,,,,AP,Northern Peninsula Airport
ABN,SMBN,Albina,5.5,-54.083332,108,,America/Paramaribo,ABN,SR,,,,AP,Albina
ABO,DIAO,Aboisso,5.433333,-3.216667,95,,Africa/Abidjan,ABO,CI,Aboisso,Sud-Comoe,,AP,Aboisso
ABP,,Atkamba,-6.06470215,141.09521515526734,36,,Pacific/Port_Moresby,ABP,PG,,,,AP,Atkamba
ABQ,KABQ,Albuquerque International Sunport,35.037669449999996,-106.6109675,5308,http://www.abqsunport.com/,America/Denver,ABQ,US,Albuquerque,New Mexico,Bernalillo County,AP,Albuquerque
ABR,KABR,Aberdeen Municipal Airport,45.4525,-98.42611,1289,,America/Chicago,ABR,US,Aberdeen,South Dakota,Brown County,AP,Aberdeen
ABS,HEBL,Abu Simbel,22.372228200000002,31.61302768093995,511,,Africa/Cairo,ABS,EG,,,,AP,Abu Simbel
ABT,OEBA,Al-Aqiq Airport,20.296139,41.634277,5446,,Asia/Riyadh,ABT,SA,Al Bahah,Mintaqat al Bahah,,AP,Al Bahah
ABU,WATA,Haliwen Airport,-9.133333,124.88333,1250,,Asia/Makassar,ABU,ID,Atambua,East Nusa Tenggara,,AP,Atambua
ABV,DNAA,Nnamdi Azikiwe International Airport,9.00668065,7.265007350650086,1092,http://www.faannigeria.org/nigeria-airport.php?airport=3,Africa/Lagos,ABV,NG,Madala,Abuja Federal Capital Territory,,AP,Madala
ABW,,Abau,-10.183333,148.7,0,,Pacific/Port_Moresby,ABW,PG,,,,AP,Abau
ABX,YMAY,Albury Airport,-36.06894285,146.95187679604823,544,,Australia/Sydney,ABX,AU,East Albury,New South Wales,Albury Municipality,AP,East Albury
ABY,KABY,Southwest Georgia Regional Airport,31.5339678,-84.19254493,213,,America/New_York,ABY,US,,,,AP,Southwest Georgia Regional Airport
ABZ,EGPD,Aberdeen International Airport,57.20195485,-2.20199135,167,http://www.aberdeenairport.com/,Europe/London,ABZ,GB,Dyce,Scotland,Aberdeen City,AP,Dyce
ACA,MMAA,Acapulco International Airport,16.756593600000002,-99.75293698,22,,America/Mexico_City,ACA,MX,10 de Abril,Guerrero,Acapulco de Juarez,AP,10 de Abril
ACB,KACB,Antrim County,44.98832545,-85.1971963,659,,America/Detroit,ACB,US,Bellaire,Michigan,Antrim County,AP,Bellaire
ACC,DGAA,Kotoka International Airport,5.60428935,-0.167967626,196,,Africa/Accra,ACC,GH,Accra,Greater Accra,,AP,Accra
ACD,SKAD,Acandi,8.516667,-77.3,72,,America/Bogota,ACD,CO,,,,AP,Acandi
ACE,GCRR,Lanzarote Airport,28.94568045,-13.60758816,42,http://www.aena.es/en/lanzarote-airport/index.html,Atlantic/Canary,ACE,ES,Tias,Canary Islands,Provincia de Las Palmas,AP,Tias
ACF,ZWAL,Alaer Talimu Airport,40.464167,81.246944,3323,,Asia/Urumqi,ACF,CN,Aral,Xinjian Autonomous Region,,AP,Aral
ACH,LSZR,Altenrhein Airport,47.4859603,9.5598603,1272,,Europe/Zurich,ACH,CH,Rheineck,Saint Gallen,Wahlkreis Rheintal,AP,Rheineck
ACI,EGJA,Alderney Airport,49.70694185,-2.214498597,298,,Europe/Guernsey,ACI,GB,Beaumont-Hague,Lower Normandy,Departement de la Manche,AP,Beaumont-Hague
ACJ,VCCA,Anuradhapura,8.35,80.38333,265,,Asia/Colombo,ACJ,LK,Anuradhapura,North Central,,AP,Anuradhapura
ACK,KACK,Nantucket Memorial Airport,41.256350600000005,-70.06422704,45,,America/New_York,ACK,US,Nantucket,Massachusetts,Nantucket County,AP,Nantucket
ACL,,Aguaclara,4.7470509,-72.9919234,1036,,America/Bogota,ACL,CO,Sabanalarga,Casanare,,AP,Sabanalarga
ACM,,Arica,-2,-71.833336,557,,America/Bogota,ACM,CO,Pebas,Loreto,Mariscal Ramon Castilla,AP,Pebas
ACN,MMCC,International,29.3,-100.916664,944,,America/Matamoros,ACN,MX,,,,AP,International
