Dataset,DatasetColumn,ColumnName,Category_1,Category_2,Level_1_Order,Level_1,Level_2,Series_1,Series_2,Rollup,Dim_Group,Dim_Label,Tick,Prefix,Row,Stack
bond,Lodged Bonds,Lodged Bonds,Bonds,,1,,,Lodged Bonds,,Sum,n,n,",d",,2,4
bond,Active Bonds,Active Bonds,Bonds,,2,,,Active Bonds,,Sum,n,n,",d",,3,4
bond,Closed Bonds,Closed Bonds,Bonds,,3,,,Closed Bonds,,Sum,n,n,",d",,4,4
bond,Median Rent,Median Rent,Rent,,1,,,Median Rent,,Sum,$,$,",d",,5,9
bond,Geometric Mean Rent,Geometric Mean Rent,Rent,,2,,,Geometric Mean Rent,,Sum,$,$,",d",,6,9
bond,Upper Quartile Rent,Upper Quartile Rent,Rent,,3,,,Upper Quartile Rent,,Sum,$,$,",d",,7,9
bond,Lower Quartile Rent,Lower Quartile Rent,Rent,,4,,,Lower Quartile Rent,,Sum,$,$,",d",,8,9
bond,Log Std Dev Weekly Rent,Log Std Dev Weekly Rent,Rent,,5,,,Log Std Dev Weekly Rent,,Sum,$,$,",d",,9,9
hb1,EXRT.DS41.NZB17,17 currency basket,Index,TWI,1,17 currency basket,Index,17 currency basket,,Sum,TWI,Index,.0f,,10,10
hb1,EXR.DS11.D06,United States dollar,NZD/USD,Exchange rates (quoted per NZ$),1,United States dollar,NZD/USD,United States dollar,,Sum,NZD to $USD,NZD/USD,.2f,$,11,11
hb1,EXR.DS11.D04,UK pound sterling,NZD/GBP,Exchange rates (quoted per NZ$),1,UK pound sterling,NZD/GBP,UK pound sterling,,Sum,NZD to £GBP,NZD/GBP,.2f,£,12,12
hb1,EXR.DS11.D01,Australian dollar,NZD/AUD,Exchange rates (quoted per NZ$),1,Australian dollar,NZD/AUD,Australian dollar,,Sum,NZD to $AUD,NZD/AUD,.2f,$,13,13
hb1,EXR.DS11.D05,Japanese yen,NZD/JPY,Exchange rates (quoted per NZ$),1,Japanese yen,NZD/JPY,Japanese yen,,Sum,NZD to ¥JPY,NZD/JPY,.0f,¥,14,14
hb1,EXR.DS11.D03,European euro,NZD/EUR,Exchange rates (quoted per NZ$),1,European euro,NZD/EUR,European euro,,Sum,NZD to €EUR,NZD/EUR,.2f,€,15,15
hb1,EXR.DS11.D02,Canadian dollar,NZD/CAD,Exchange rates (quoted per NZ$),1,Canadian dollar,NZD/CAD,Canadian dollar,,Sum,NZD to $CAD,NZD/CAD,.2f,$,16,16
hb1,EXR.DS11.D12,South Korean won,NZD/KRW,Exchange rates (quoted per NZ$),1,South Korean won,NZD/KRW,South Korean won,,Sum,NZD to ₩KRW,NZD/KRW,.0f,₩,17,17
hb1,EXR.DS11.D11,Chinese renminbi,NZD/CNY,Exchange rates (quoted per NZ$),1,Chinese renminbi,NZD/CNY,Chinese renminbi,,Sum,NZD to ¥CNY,NZD/CNY,.2f,¥,18,18
hb1,EXR.DS11.D14,Malaysian ringgit,NZD/MYR,Exchange rates (quoted per NZ$),1,Malaysian ringgit,NZD/MYR,Malaysian ringgit,,Sum,NZD to RM,NZD/MYR,.2f,RM,19,19
hb1,EXR.DS11.D08,Hong Kong dollar,NZD/HKD,Exchange rates (quoted per NZ$),1,Hong Kong dollar,NZD/HKD,Hong Kong dollar,,Sum,NZD to $HK,NZD/HKD,.2f,$,20,20
hb1,EXR.DS11.D13,Indonesian rupiah,NZD/IDR,Exchange rates (quoted per NZ$),1,Indonesian rupiah,NZD/IDR,Indonesian rupiah,,Sum,NZD to p (IDR),NZD/IDR,.0f,p,21,21
